puma_code,puma_area_name
06 06514,Riverside County (Northwest)--Jurupa Valley & Eastvale Cities PUMA
06 06515,"Riverside County--Palm Desert, La Quinta (West) & Desert Hot Springs Cities PUMA"
06 06701,Sacramento County (North Central)--Citrus Heights City PUMA
06 06702,Sacramento County (Central)--Rancho Cordova City PUMA
06 06703,"Sacramento County (North Central)--Arden-Arcade, Carmichael & Fair Oaks (West) PUMA"
06 06704,"Sacramento County (North Central)--North Highlands, Foothill Farms & McClellan Park PUMA"
06 06705,Sacramento County (Northwest)--Sacramento City (Northwest/Natomas) PUMA
06 06706,"Sacramento County (North)--Sacramento City (North), Antelope & Rio Linda PUMA"
06 06707,Sacramento County (West)--Sacramento City (Central/Downtown & Midtown) PUMA
06 06708,"Sacramento County--Sacramento City (Southeast/Fruitridge, Avondale & Depot Park) PUMA"
06 06709,"Sacramento County--Sacramento City (Southwest/Pocket, Meadowview & North Laguna) PUMA"
06 06710,Sacramento County (Central)--Elk Grove City PUMA
06 06711,"Sacramento County (South)--Galt, Isleton Cities & Delta Region PUMA"
06 06712,"Sacramento County (Northeast)--Folsom City, Orangevale & Fair Oaks (East) PUMA"
06 07101,San Bernardino County (Northeast)--Twentynine Palms & Barstow Cities PUMA
06 07102,San Bernardino County (West Central)--Victorville & Adelanto Cities PUMA
06 07103,San Bernardino County (West Central)--Hesperia City & Apple Valley Town PUMA
06 07104,"San Bernardino County (Southwest)--Phelan, Lake Arrowhead & Big Bear City PUMA"
06 07105,San Bernardino County (Southwest)--Redlands & Yucaipa Cities PUMA
06 07106,"San Bernardino County (Southwest)--Colton, Loma Linda & Grand Terrace Cities PUMA"
06 07107,San Bernardino County (Southwest)--San Bernardino City (East) PUMA
06 07108,San Bernardino County (Southwest)--San Bernardino City (West) PUMA
06 07109,San Bernardino County (Southwest)--Rialto City PUMA
06 07110,San Bernardino County (Southwest)--Fontana City (East) PUMA
06 07111,San Bernardino County (Southwest)--Rancho Cucamonga City PUMA
06 07112,San Bernardino County (Southwest)--Upland & Montclair Cities PUMA
06 07113,San Bernardino County (Southwest)--Ontario City PUMA
06 07114,San Bernardino County (Southwest)--Chino & Chino Hills Cities PUMA
06 07115,San Bernardino County (Southwest)--Fontana City (West) PUMA
06 07301,San Diego County (Northwest)--Oceanside City & Camp Pendleton PUMA
06 07302,"San Diego County (North & East)--Fallbrook, Alpine & Valley Center PUMA"
06 07303,San Diego County (Northwest)--Vista City PUMA
06 07304,San Diego County (Northwest)--Carlsbad City PUMA
06 07305,San Diego County (Northwest)--San Marcos & Escondido (West) Cities PUMA
06 07306,San Diego County (Northwest)--Escondido City (East) PUMA
06 07307,"San Diego County (Central)--Lakeside, Winter Gardens & Ramona PUMA"
06 07308,San Diego County (Central)--San Diego (Northeast/Rancho Bernardo) & Poway Cities PUMA
06 07309,San Diego County (West)--San Diego (Northwest/San Dieguito) & Encinitas Cities PUMA
06 07310,San Diego County (West)--San Diego City (Southwest/Central Coastal) PUMA
06 07311,San Diego County (West Central)--San Diego City (Northwest/Del Mar Mesa) PUMA
06 07312,San Diego County (Central)--San Diego City (Central/Mira Mesa & University Heights) PUMA
06 07313,San Diego County (Central)--El Cajon & Santee Cities PUMA
06 07314,San Diego County (Central)--San Diego (East Central/Navajo) & La Mesa Cities PUMA
06 07315,San Diego County (West Central)--San Diego City (Central/Clairemont & Kearny Mesa) PUMA
06 07316,San Diego County (South Central)--San Diego City (Central/Centre City & Balboa Park) PUMA
06 07317,San Diego County (South Central)--San Diego City (Central/Mid-City) PUMA
